Scientific Name,Common Name,Species ID,Link
Abelia × grandiflora (Planch. & Linden) Traub,Glossy abelia,4055,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4055
Abelia × grandiflora 'Francis Mason',Golden Abelia,3463,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3463
Abelia × grandiflora 'Kaleidoscope',Kaleidoscope Abelia,5038,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5038
Abelia × grandiflora 'Variegata',-,4056,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4056
Abelmoschus esculentus (L.) Moench,Lady's Fingers,1581,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1581
Abelmoschus esculentus 'Alabama Red',Lady's Finger,6691,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6691
Abelmoschus esculentus 'Clemson Spineless',Lady's Finger,7453,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7453
Abelmoschus esculentus cultivars,Lady's Finger,8439,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8439
Abelmoschus esculentus 'Greeny Splendor',Lady's Finger,6516,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6516
Abelmoschus esculentus 'Silver Queen',Lady's Finger,8410,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8410
Abelmoschus esculentus 'Star of David',Lady's Finger,6690,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6690
Abelmoschus manihot (L.) Medik.,Sunset Hibiscus,5813,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5813
Abelmoschus moschatus (Span.) Borss.Waalk. subsp. tuberosus,Musk Mallow,5478,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5478
Abroma augustum (L.) L.f.,Ulat Kambal,5350,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5350
Abrus precatorius L.,Rosary pea,3480,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3480
Abutilon 'Canary Bird',-,8140,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8140
Abutilon indicum,India Abutilon,1582,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1582
Abutilon pictum 'Thompsonii',Flowering Maple,1583,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1583
Abutilon 'Souvenir de Bonn',Flowering Maple 'Souvenir de Bonn',8350,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8350
Acacia auriculiformis A. Cunn. ex Benth.,Acacia-tree,2693,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2693
Acacia confusa,Formosan Koa,2694,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2694
Acacia mangium Willd.,Silver Wattle,2695,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2695
Acacia podalyriifolia,-,3485,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3485
Acalypha aristata Kunth,Field Copperleaf,5740,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5740
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Red Cat's Tail,1587,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1587
Acalypha godseffiana 'Heterophylla',Copper Leaf,1585,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1585
Acalypha hispida Burm.f.,Chenille Plant,1586,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1586
Acalypha indica L.,Copperleaf,5964,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5964
Acalypha siamensis,Tumput,1588,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1588
Acalypha siamensis (Variegated Leaf),-,1589,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1589
Acalypha wilkesiana 'Hoffmannii',Jacob's Coat 'Hoffmannii',1590,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1590
Acalypha wilkesiana 'Java White','Java White' Copper Leaf,1591,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1591
Acalypha wilkesiana 'Moorea',WiIkes' AcaIypha,1592,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1592
Acalypha wilkesiana 'Mosaica',Fire Fiji Plant,1593,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1593
Acanthophoenix rubra (Bory) H.Wendl.,-,8539,https://www.nparks.gov.sg/florafaunaweb/flora/8/5/8539
Acanthus antiquorum,Sesudu,2000,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2000
Acanthus ebracteatus (Variegated),Variegated Sea Holly,1595,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1595
Acanthus ebracteatus Vahl,Sea Holly,1594,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1594
Acanthus ilicifolius L.,Mangrove HoIIy,3487,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3487
Acanthus mollis,Bear's Breeches,4898,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4898
Acanthus volubilis Wall.,Jeruju,6527,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6527
Acca sellowiana,Feijoa,4165,https://www.nparks.gov.sg/florafaunaweb/flora/4/1/4165
Achillea sp.,Yarrow,5346,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5346
Achimenes 'Ambrose Verschaffelt',-,7073,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7073
Achimenes 'Orange Delight',-,5681,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5681
Achimenes 'Robert Dressler',-,7070,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7070
Achyranthes aspera L.,Devil's Horsewhip,5967,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5967
Acmella oleracea (L.) R.K.Jansen,Toothache Plant,5201,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5201
Acmella paniculata (Wall. ex DC.) R.K.Jansen,Toothache Plant,2472,https://www.nparks.gov.sg/florafaunaweb/flora/2/4/2472
Acmella uliginosa (Sw.) Cass.,沼生金纽扣,5784,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5784
Acmena smithii var. minor 'Cherry Surprise',-,5795,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5795
Acorus calamus L.,Calamus,3491,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3491
Acriopsis indica C.Wright,合萼兰,6621,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6621
Acriopsis liliifolia (Koen.) Ormerod,-,6484,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6484
Acrostichum aureum L.,Leather Fern,1535,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1535
Acrostichum speciosum Willd.,Mangrove Fern,1536,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1536
Acrotrema costatum Jack,Yellow Jungle Star,3739,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3739
Actinodaphne macrophylla (Blume) Nees,-,3494,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3494
Actinodaphne malaccensis Hook.f.,-,5449,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5449
Actinorhytis calapparia,Pinang Penawar,3259,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3259
Actinostachys digitata (L.) Wall.,Grass Fern,1574,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1574
Adansonia digitata L.,Baobab,2696,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2696
Adenanthera malayana Kosterm. subsp. malayana,-,3495,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3495
Adenanthera pavonina L.,Saga,2697,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2697
Adenia cordifolia (Blume) Engl.,-,6671,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6671
Adenia macrophylla var. singaporiana,Large-leafed Adenia,1297,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1297
Adenium hybrids,-,8440,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8440
Adenium obesum (Forssk.) Roem. & Schult,Desert Rose,1596,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1596
Adenium obesum cultivars,-,8441,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8441
Adenosma javanica (Blume) Merr.,卵萼毛麝香,5143,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5143
Adiantum hispidulum Sw.,Rough Maidenhair Fern,6770,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6770
Adiantum latifolium Lam.,-,5694,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5694
Adiantum peruvianum Klotzsch,Silver Dollar Maidenhair,1538,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1538
Adiantum raddianum C. Presl,Delta Maidenhair Fern,3497,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3497
Adiantum tenerum Sw.,Black-Stick Maidenhair,1537,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1537
Adina eurhyncha (Miq.) Å.Krüger & Löfstrand,-,7730,https://www.nparks.gov.sg/florafaunaweb/flora/7/7/7730
Adinandra dumosa Jack,Tiup-tiup,2698,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2698
Adinobotrys atropurpureus (Wall.) Dunn,Tulang Daing,2769,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2769
"Adonidia dransfieldii K.M.Wong, Sugau & Y.W.Low",-,5399,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5399
Adonidia merrillii (Becc.) Becc.,Manila Palm,2688,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2688
Aechmea blanchetiana 'Orangeade',Orangeade Bromeliad,7171,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7171
Aechmea chantinii (Carrière) Baker,Amazonian Zebra Plant,1602,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1602
Aechmea fasciata,Urn Plant,1603,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1603
Aechmea fulgens var. discolor,Two-coloured Coralberry,1604,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1604
Aechmea gamosepala 'Lucky Stripes',-,3498,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3498
Aechmea gamosepala Wittm. var. nivea,-,6567,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6567
Aechmea macrochlamys L.B.Sm.,-,6025,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6025
Aechmea mulfordii 'Rubra',-,7172,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7172
Aechmea tayoensis Gilmartin,-,5864,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5864
Aegiceras corniculatum (L.) Blanco,River Mangrove,5436,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5436
Aegle marmelos,Bel,3292,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3292
Aeonium 'Zwartkop',-,6335,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6335
Aerides lawrenceae Rchb.f.,-,5838,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5838
Aerides odorata Lour.,香花指甲兰,5995,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5995
Aeschynanthus albidus Steud.,-,5019,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5019
Aeschynanthus longicaulis Wall. ex R.Br.,Zebra vine,5555,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5555
Aeschynanthus pulcher (Blume) G.Don,Lipstick Plant,1298,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1298
Aeschynanthus pulcher (curly leaf),Lipstick Plant,1299,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1299
Aeschynanthus speciosus Hook.,Lipstick Vine,1300,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1300
Aeschynanthus wallichii R.Br.,-,8429,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8429
Afgekia mahidoliae B.L. Burtt & Chermsir.,Kan Phai Mahidol,3478,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3478
Afgekia sericea Craib,Silky Afgekia,1301,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1301
Aganope heptaphylla (L.) Polhill,-,6537,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6537
Agapanthus praecox,Lily of the Nile,3503,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3503
Agastache foeniculum,Blue Giant Hyssop,6752,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6752
Agathis borneensis,Borneo Kauri,2699,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2699
Agathis lanceolata Warb.,-,8738,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8738
Agave americana,Century Plant,3506,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3506
Agave americana 'Australian Opal',-,6337,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6337
Agave amica,Tuberose,8360,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8360
Agave amica 'Sensation',Tuberose,8552,https://www.nparks.gov.sg/florafaunaweb/flora/8/5/8552
