Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum height,Flower Colour,Hazard,Attracted animals,Native habitat,Leaf Colour,Leaf Area Index,Growth rate,Trunk Texture,Trunk Colour,Leaf Texture,Maximum Height
Abelia × grandiflora (Planch. & Linden) Traub,Glossy abelia,4055,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4055,Shrub,-,-,False,False,False,-,-,White,-,Butterfly-Attracting,Terrestrial,Green,-,Moderate,None,None,Smooth,-
Abelia × grandiflora 'Francis Mason',Golden Abelia,3463,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3463,Shrub,-,-,False,False,False,-,-,White,-,Butterfly-Attracting,-,"Green, Yellow / Golden, Red",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Smooth, Glossy / Shiny",-
Abelia × grandiflora 'Kaleidoscope',Kaleidoscope Abelia,5038,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5038,Shrub,-,-,False,False,False,-,-,White,-,Butterfly-Attracting,Terrestrial,"Green - Light Green, Red",-,Moderate,None,None,Glossy / Shiny,-
Abelia × grandiflora 'Variegata',-,4056,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4056,Shrub,-,-,False,False,False,-,-,-,-,-,Terrestrial,-,-,Moderate,None,None,Evergreen,-
Abelmoschus esculentus (L.) Moench,Lady's Fingers,1581,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1581,"Herbaceous Plant, Shrub",-,-,False,False,False,-,-,Yellow / Golden,-,-,-,"Green, Green",-,Moderate,None,None,"Velvety / Furry / Tomentose, Spiny / Bristly / Stinging",-
Abelmoschus esculentus 'Alabama Red',Lady's Finger,6691,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6691,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Clemson Spineless',Lady's Finger,7453,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7453,Herbaceous Plant,-,-,False,False,False,-,-,Cream / Off-White,-,-,-,Green,-,-,None,None,Bulging in between Veins,-
Abelmoschus esculentus cultivars,Lady's Finger,8439,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8439,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Greeny Splendor',Lady's Finger,6516,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6516,Herbaceous Plant,-,-,False,False,False,-,-,Cream / Off-White,-,-,-,Green,-,-,None,None,Bulging in between Veins,-
Abelmoschus esculentus 'Silver Queen',Lady's Finger,8410,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8410,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,Terrestrial,-,-,-,None,None,-
Abelmoschus esculentus 'Star of David',Lady's Finger,6690,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6690,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus manihot (L.) Medik.,Sunset Hibiscus,5813,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5813,Shrub,-,-,False,False,False,-,-,Yellow / Golden,-,-,Terrestrial,"Green, Green - Light Green, Green, Green - Light Green",-,Moderate,None,None,Hairy / Hirsute,-
Abelmoschus moschatus (Span.) Borss.Waalk. subsp. tuberosus,Musk Mallow,5478,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5478,"Creeper, Herbaceous Plant",-,-,False,False,False,-,-,"Red, Pink, Cream / Off-White",-,-,Terrestrial,Green,-,-,None,None,Leathery,-
Abroma augustum (L.) L.f.,Ulat Kambal,5350,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5350,Shrub,-,-,True,False,False,-,-,Red,-,-,Terrestrial,Green,-,Fast,None,None,Smooth,-
Abrus precatorius L.,Rosary pea,3480,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3480,Climber,-,-,False,False,False,-,-,"Pink, Purple",-,-,Terrestrial (Secondary Rainforest),Green,-,Fast,None,None,Smooth,-
Abutilon 'Canary Bird',-,8140,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8140,Shrub,-,-,False,False,False,-,-,Yellow / Golden,-,Bird-Attracting,Terrestrial,"Green, Green - Light Green",-,Moderate,None,None,"Thin, Crinkled / Twisted",-
Abutilon indicum,India Abutilon,1582,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1582,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,4.5 (Shrub & Groundcover - Dicot),-,None,None,Green,-
Abutilon pictum 'Thompsonii',Flowering Maple,1583,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1583,Shrub,-,-,False,False,False,-,-,Orange,-,"Bird-Attracting (Flowers), Butterfly-Attracting",Terrestrial,"Green, Yellow / Golden, Green, Yellow / Golden",-,Fast,None,None,Smooth,-
Abutilon 'Souvenir de Bonn',Flowering Maple 'Souvenir de Bonn',8350,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8350,Shrub,-,-,False,False,False,-,-,Orange,-,Bird-Attracting,Terrestrial,"Green, Cream / Off-White, Green, Cream / Off-White",-,Moderate,None,None,"Smooth, Crinkled / Twisted",-
Acacia auriculiformis A. Cunn. ex Benth.,Acacia-tree,2693,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2693,Tree,-,-,True,False,False,True,-,Yellow / Golden,-,Bird-Attracting,-,Green,3.0 (Tree - Intermediate Canopy),Fast,-,-,Raised / Sunken Veins,-
Acacia confusa,Formosan Koa,2694,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2694,Tree,-,-,False,False,False,None,-,White,-,-,-,Green,3.0 (Tree - Intermediate Canopy),Fast,-,-,Green,-
Acacia mangium Willd.,Silver Wattle,2695,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2695,Tree,-,-,False,False,False,None,-,White,-,Bird-Attracting,"Terrestrial (Coastal Forest, Riverine, Grassland / Savannah/ Scrubland), Shoreline (Mangrove Forest)","Green, Silver / Grey",3.0 (Tree - Intermediate Canopy),Fast,-,-,"Smooth, Raised / Sunken Veins",-
Acacia podalyriifolia,-,3485,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3485,Tree,-,-,False,False,False,None,-,-,-,-,-,-,-,Fast,-,-,-
Acalypha aristata Kunth,Field Copperleaf,5740,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5740,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,4.5 (Shrub & Groundcover - Dicot),-,None,None,Green,-
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Red Cat's Tail,1587,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1587,Herbaceous Plant,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Green",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Hairy / Hirsute,-
Acalypha godseffiana 'Heterophylla',Copper Leaf,1585,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1585,Shrub,-,-,False,False,False,-,-,White,-,-,-,"Green, Red, Pink, Green, Pink",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Smooth,-
Acalypha hispida Burm.f.,Chenille Plant,1586,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1586,Shrub,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Green",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Smooth,-
Acalypha indica L.,Copperleaf,5964,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5964,Herbaceous Plant,-,-,False,False,False,-,-,Green,-,-,Terrestrial,Green,-,-,None,None,Velvety / Furry / Tomentose,-
Acalypha siamensis,Tumput,1588,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1588,Shrub,-,-,False,False,False,-,-,Green,-,-,Terrestrial,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Green,-
Acalypha siamensis (Variegated Leaf),-,1589,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1589,Shrub,-,-,False,False,False,-,-,Green - Light Green,-,-,Terrestrial,"Green, Yellow / Golden, White",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Yellow / Golden, White",-
Acalypha wilkesiana 'Hoffmannii',Jacob's Coat 'Hoffmannii',1590,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1590,Shrub,-,-,False,False,False,-,-,Green,-,-,Terrestrial,"Green, Yellow / Golden, White, Green, White, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Yellow / Golden, White",-
Acalypha wilkesiana 'Java White','Java White' Copper Leaf,1591,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1591,Shrub,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Yellow / Golden, Green - Light Green, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Glossy / Shiny, Smooth",-
Acalypha wilkesiana 'Moorea',WiIkes' AcaIypha,1592,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1592,Shrub,-,-,False,False,False,-,-,Pink,-,-,Terrestrial,"Green, Purple, Red",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Purple, Red",-
